category,gwp_crs,business_pct,tp_loss_cost,od_loss_cost,tplr_pct,odlr_pct,coa,or_val
CORP,4.5638808,0.0006653376654,12031968.21,25312775.64,0.0007635452107,0.0007424083822,0.07807818059,0.8953567979
EMG,1826.503688,0.2662737598,5073764173,9356050323,0.321979602,0.2744072907,0.2421814965,1.032214461
GBG,0.0385486,5.619742639e-06,179011.9286,121104.5,1.136004504e-05,3.551921655e-06,0.07578892617,0.8543293366
IBANK,100.5054292,0.01465201449,217674195.3,540329628.8,0.01381354127,0.01584754083,0.09432765657,0.848557429
MM,53.01627833,0.007728888724,151737390,243514557.9,0.009629210733,0.007142134532,0.1969005895,0.942463918
OTHERS,0.1044659,1.522938505e-05,544862.7574,547134.4246,3.457683247e-05,1.604712137e-05,0.09772082337,1.143035306
PMG,4260.957614,0.6211765196,8314872443,2.12192239e+10,0.5276593923,0.6223469885,0.2694052584,0.9625495532
SBGS,613.8057124,0.0894826306,1987225786,2710387970,0.1261087717,0.07949403799,0.1582631562,0.923603936
Grand Total,6859.495617,1,1.575802983e+10,3.40954874e+10,1,1,0.2489592571,0.9757515241
