category,gwp_crs,business_pct,tp_loss_cost,od_loss_cost,tplr_pct,odlr_pct,coa,or_val
ASHOK LEYLAND,0.0020776,3.028794121e-07,18366.69527,2946.965381,1.165545152e-06,8.64327102e-08,0.1943223616,1.220201292
ASTON MARTIN,0.4705573,6.859940238e-05,21562.07844,2805470.183,1.368323241e-06,8.228274172e-05,0.3134767483,0.9142605979
ASTON MARTINE,0.5029704667,7.332470122e-05,88052.83268,2455671.939,5.587807209e-06,7.202337103e-05,0.2903474718,0.7960878563
AUDI,53.19704102,0.007755240908,42298114.92,322672617,0.002684226098,0.009463792473,0.2210430378,0.9071628097
AUSTIN,0.0007332,1.068883255e-07,7686.23756,0.0004816,4.87766405e-07,0,0.01293562466,1.061249597
AVANTI,0.001273,1.855821581e-07,2413.670307,5219.672589,1.531708172e-07,1.530898364e-07,0.1000636319,0.7241616530
BAJAJ,0.0045066,6.569870806e-07,53438.78948,13800.46818,3.391210073e-06,4.047593753e-07,0.08099267682,1.57301011
BENTLEY,8.2550203,0.001203444212,754346.3027,54082506.49,4.787059746e-05,0.001586207167,0.2571268375,0.9215090821
BMW,226.2164524,0.03297858399,129663666.5,1267462236,0.008228418648,0.03717389992,0.2300504131,0.8476709948
BUICK CAR,0.0008047,1.173118324e-07,7909.033705,0.00029076,5.019049837e-07,0,0.004,0.9868549765
BYD,37.1530214,0.005416290566,38023738.48,168642514.9,0.002412975409,0.004946182846,0.2756615554,0.831926699
CADILLAC,0.0538699,7.85333252e-06,4850.270307,146055.1566,3.077967461e-07,4.283709303e-06,0.2588280505,0.5389574491
CHEVROLET,0.0137823,2.009229362e-06,139297.9028,37567.4799,8.839804485e-06,1.101831438e-06,0.1387469171,1.42202607
CITROEN,11.73241417,0.001710390213,20840353.65,65681398.93,0.001322522794,0.001926395659,0.2026302739,0.9401056694
DAEWOO,0.0040428,5.893727798e-07,24994.49795,4543.851294,1.586143586e-06,1.332684071e-07,0.073552533,0.8041934067
