category,gwp_crs,business_pct,tp_loss_cost,od_loss_cost,tplr_pct,odlr_pct,coa,or_val
CNG,478.4511784,,1606610174,2702412855,0.1019550154,0.07926013269,0.2663984543,1.167022988
Diesel,2231.607071,,5573349319,1.11842313e+10,0.3536831304,0.3280267318,0.2575189137,1.008456314
Electric,445.549562,,804291495.7,2275752815,0.05104010491,0.06674645206,0.285108721,0.976404728
Petrol,3703.887805,,7773778841,1.793309043e+10,0.4933217493,0.5259666835,0.2370656179,0.9311254498
Grand Total,6859.495617,,1.575802983e+10,3.40954874e+10,1,1,0.2489592571,0.9757515241
