category,gwp_crs,business_pct,tp_loss_cost,od_loss_cost,tplr_pct,odlr_pct,coa,or_val
NEW,3026.64456,0.4412342727,8333882269,1.120420653e+10,0.5288657503,0.3286125932,0.3177114174,0.9632477006
RETENTION,1937.935106,0.2825186011,3283286209,1.119731378e+10,0.20835639,0.3284104331,0.1908057009,0.9380338018
ROLLOVER,1791.597752,0.2611850567,3689396550,1.124162672e+10,0.2341280344,0.3297101047,0.1978566182,1.031279637
USEDCAR,103.3181992,0.01506206943,451464802.2,452340366.6,0.02864982533,0.01326686905,0.2074997093,1.082375381
Grand Total,6859.495617,1,1.575802983e+10,3.40954874e+10,1,1,0.2489592571,0.9757515241
